Year,County,Yield,solar_radiation,humidity,wind_speed,wind_speed_max,precip_total,temp_min,temp_mean,temp_max,dewpoint_mean,vpd_max,vpd_min
2013,racine,162.8,18.511666666666667,82.97666666666666,4.13,12.59,24.78,54.88333333333333,62.26666666666666,69.66666666666667,51.85,12.215000000000002,2.0966666666666667
2013,walworth,161.3,19.286666666666665,79.89833333333333,2.7649999999999992,9.28,26.630000000000003,51.2,61.76666666666666,72.36666666666666,51.35,14.975,1.085
2013,washington,132.9,19.108333333333334,79.42833333333333,3.0999999999999996,10.29,26.05,48.6,59.36666666666667,70.16666666666667,49.0,14.481666666666667,0.8416666666666667
2013,waukesha,153.3,19.108333333333334,79.57666666666667,2.938333333333333,10.15,30.68,50.53333333333333,60.75,70.98333333333333,50.35,13.97,0.9783333333333334
2013,crawford,144.8,18.951666666666664,79.63333333333334,2.828333333333333,8.26,35.85,52.26666666666667,62.06666666666666,71.88333333333334,52.06666666666666,14.665,1.1516666666666666
2013,grant,179.3,19.675,79.63333333333334,2.828333333333333,8.26,29.01,52.56666666666666,62.51666666666666,72.5,52.3,15.02,1.2766666666666666
2013,iowa,158.3,18.951666666666664,80.05666666666667,2.778333333333333,8.44,28.37,51.38333333333333,61.81666666666667,72.28333333333333,51.46666666666667,15.331666666666663,1.1166666666666667
2013,lafayette,169.4,19.675,78.71666666666667,2.763333333333333,8.47,24.95,50.8,62.31666666666666,73.85000000000001,52.03333333333333,16.815,0.955
2013,richland,141.9,18.951666666666664,79.48833333333334,2.9,8.25,28.3,50.28333333333333,61.48333333333333,72.66666666666667,51.1,15.99,0.86
2013,sauk,154.3,19.041666666666668,80.23833333333333,2.858333333333333,8.43,24.37,50.916666666666664,61.46666666666667,72.05,51.18333333333334,15.275,1.0316666666666667
2013,vernon,138.8,18.951666666666664,79.48833333333334,2.9,8.25,30.52,50.61666666666667,60.25,69.86666666666666,51.5,13.1,0.7166666666666667
2013,buffalo,141.0,18.34166666666667,77.745,2.9983333333333335,8.24,24.13,50.53333333333333,61.56666666666666,72.56666666666666,50.416666666666664,17.205,1.0883333333333332
2013,dunn,112.1,18.34166666666667,78.465,2.913333333333334,8.82,21.04,49.333333333333336,59.73333333333333,70.14999999999999,49.25,15.27,1.0883333333333334
2013,eau claire,130.0,18.34166666666667,78.72833333333334,2.9250000000000003,8.84,24.75,48.833333333333336,59.46666666666667,70.08333333333333,49.43333333333334,14.903333333333334,0.8433333333333333
2013,jackson,123.8,18.5,78.97833333333334,2.9149999999999996,9.95,26.49,46.75,59.6,72.45,49.43333333333334,17.69333333333333,0.305
2013,la crosse,149.1,18.603333333333335,78.86833333333334,2.986666666666667,9.21,26.99,51.95,62.01666666666667,72.10000000000001,51.21666666666667,15.82,1.3166666666666669
2013,monroe,121.4,18.951666666666664,78.57666666666667,2.94,9.33,26.34,48.86666666666667,59.93333333333334,70.98333333333333,49.833333333333336,15.406666666666666,0.8533333333333334
2013,pepin,134.8,18.34166666666667,77.745,2.9983333333333335,8.24,20.63,49.65,60.45000000000001,71.28333333333333,49.916666666666664,16.008333333333333,0.9783333333333334
2013,pierce,140.3,18.24,77.05333333333333,3.068333333333333,8.68,22.23,48.38333333333333,58.93333333333333,69.46666666666667,50.46666666666667,13.255,0.5166666666666667
2013,st croix,84.6,18.093333333333337,76.93666666666667,2.848333333333333,8.84,19.11,49.1,59.15,69.23333333333333,49.55,13.86,0.9583333333333334
2013,trempealeau,122.4,18.34166666666667,78.72833333333334,2.9250000000000003,8.84,26.47,49.38333333333333,60.166666666666664,70.96666666666667,50.15,15.46,0.8466666666666667
2012,adams,104.3,21.02,63.54999999999999,2.9883333333333333,10.21,18.54,49.73333333333333,63.01666666666667,76.33333333333333,49.083333333333336,21.313333333333333,1.1416666666666666
