County,Year,precip_total,temp_min,temp_mean,temp_max,dewpoint_mean,vpd_max,vpd_min
Grant,2006,26.92,52.88333333333333,62.56666666666666,72.26666666666667,53.71666666666667,12.781666666666666,0.8383333333333334
Grant,2007,31.11,52.85,62.96666666666667,73.08333333333333,52.5,14.505,1.2883333333333333
Grant,2008,37.74,51.71666666666667,61.550000000000004,71.36666666666667,52.35,13.048333333333332,0.9183333333333333
Grant,2009,23.92,50.73333333333333,60.333333333333336,69.91666666666667,51.416666666666664,11.853333333333333,0.7866666666666666
Grant,2010,36.49,55.383333333333326,65.21666666666667,75.03333333333333,55.46666666666667,14.748333333333333,1.2216666666666667
Grant,2011,22.45,53.36666666666667,62.96666666666667,72.53333333333333,52.916666666666664,14.646666666666667,1.365
Grant,2012,15.61,53.9,65.43333333333334,77.0,50.98333333333333,20.745,2.0500000000000003
Grant,2013,29.01,52.56666666666666,62.51666666666666,72.5,52.300000000000004,15.020000000000001,1.2766666666666666
Grant,2014,22.73,52.01666666666667,61.949999999999996,71.91666666666667,51.98333333333333,13.94,1.1483333333333332
Grant,2015,21.56,53.48333333333333,63.416666666666664,73.33333333333333,53.46666666666667,14.161666666666667,0.9816666666666666
Grant,2016,32.53,54.26666666666667,64.0,73.73333333333333,54.833333333333336,13.896666666666667,0.745
Grant,2017,27.55,52.98333333333333,63.11666666666667,73.3,53.63333333333333,14.501666666666665,0.8649999999999999
Grant,2018,42.089999999999996,53.51666666666667,63.083333333333336,72.64999999999999,55.11666666666667,13.083333333333334,0.5933333333333334
Grant,2019,43.769999999999996,53.36666666666667,62.699999999999996,72.05,55.11666666666667,11.623333333333335,0.5299999999999999
Grant,2020,29.520000000000003,52.93333333333334,62.76666666666667,72.60000000000001,52.75,14.321666666666665,0.9733333333333333
Grant,2021,16.34,54.96666666666667,64.86666666666666,74.73333333333333,53.63333333333333,15.918333333333335,1.3549999999999998
Grant,2022,21.7,53.583333333333336,62.916666666666664,72.25,53.23333333333333,13.801666666666668,1.1883333333333332
